combination,trials_ok
"916.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 44/60"
"916.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 57/60"
"916.400 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 51/60"
"916.400 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 39/60"
"916.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 44/60"
"916.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 56/60"
"916.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 54/60"
"916.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 49/60"
"916.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 44/60"
"916.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 55/60"
"916.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 51/60"
"916.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 26/60"
"916.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 49/60"
"916.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 41/60"
"916.700 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 53/60"
"916.700 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 19/60"
"916.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 52/60"
"916.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 5/60"
"916.800 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 45/60"
"916.800 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 55/60"
"916.850 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 51/60"
"916.850 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 54/60"
"916.900 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 52/60"
"916.900 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 52/60"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 48/60"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 58/60"
"926.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 53/60"
"926.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 59/60"
"926.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 49/60"
"926.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 57/60"
"926.150 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 48/60"
"926.150 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 58/60"
"926.200 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 55/60"
"926.200 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 58/60"
"926.250 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 52/60"
"926.250 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 60/60"
"926.300 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"926.300 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 59/60"
"926.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"926.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 56/60"
"926.400 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 52/60"
"926.400 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 58/60"
"926.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"926.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 60/60"
"926.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 49/60"
"926.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 59/60"
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 56/60"
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 5/60"
"916.300 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 51/60"
"916.300 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 42/60"
