combination,trials_ok
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 46/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 49/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 45/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 48/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 46/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 13/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 46/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 47/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 45/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 15/49"
"910.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 45/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 20/49"
"910.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 41/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 35/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 40/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 5/49"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 46/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 4/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 47/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 1/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 48/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 37/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 4/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 40/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 41/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 45/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 49/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 43/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 41/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 50/50"
